athlete,athlete_id,medals_won,sport,rank
,98643,4,Nordic Combined,9
,97784,4,Nordic Combined,10
,17812,2,Polo,1
,17810,2,Polo,2
,17986,2,Polo,3
,17966,2,Polo,4
,17959,2,Polo,5
,17811,2,Polo,6
,17961,2,Polo,7
,17818,2,Polo,8
,17976,1,Polo,9
,18229,1,Polo,10
,17992,2,Racquets,1
,17991,2,Racquets,2
,17987,2,Racquets,3
,17993,1,Racquets,4
,17988,1,Racquets,5
,17990,1,Racquets,6
,17989,1,Racquets,7
,120404,3,Rhythmic Gymnastics,1
,116856,2,Rhythmic Gymnastics,2
,131593,2,Rhythmic Gymnastics,3
,131594,2,Rhythmic Gymnastics,4
,29215,2,Rhythmic Gymnastics,5
,116859,2,Rhythmic Gymnastics,6
,91563,2,Rhythmic Gymnastics,7
,107894,2,Rhythmic Gymnastics,8
,107838,2,Rhythmic Gymnastics,9
,107890,2,Rhythmic Gymnastics,10
,102561,1,Roque,1
,102560,1,Roque,2
,102562,1,Roque,3
,39517,7,Rowing,1
,39501,6,Rowing,2
,37440,6,Rowing,3
,39531,5,Rowing,4
,37676,5,Rowing,5
,36061,5,Rowing,6
,37218,5,Rowing,7
,39498,5,Rowing,8
,36485,5,Rowing,9
,92558,5,Rowing,10
,11240,2,Rugby,1
,18255,2,Rugby,2
,17874,2,Rugby,3
,18240,2,Rugby,4
,1202197,2,Rugby,5
,18250,2,Rugby,6
,1202196,2,Rugby,7
,18251,2,Rugby,8
,18254,2,Rugby,9
,18107,1,Rugby,10
,131305,2,Rugby Sevens,1
,131312,2,Rugby Sevens,2
,131313,2,Rugby Sevens,3
,133771,2,Rugby Sevens,4
,131302,2,Rugby Sevens,5
,131308,2,Rugby Sevens,6
,131307,2,Rugby Sevens,7
,134040,1,Rugby Sevens,8
,135731,1,Rugby Sevens,9
,134031,1,Rugby Sevens,10
,61109,5,Sailing,1
,62180,5,Sailing,2
,63567,5,Sailing,3
,62362,4,Sailing,4
,61927,4,Sailing,5
,61046,4,Sailing,6
,61945,4,Sailing,7
,63599,4,Sailing,8
,62889,4,Sailing,9
,62704,3,Sailing,10
,44730,11,Shooting,1
,44287,9,Shooting,2
,43533,8,Shooting,3
,44162,7,Shooting,4
,44767,7,Shooting,5
,43518,7,Shooting,6
,44708,7,Shooting,7
,44586,6,Shooting,8
,44704,6,Shooting,9
,43496,6,Shooting,10
,109931,11,Short Track Speed Skating,1
,101555,8,Short Track Speed Skating,2
,109918,6,Short Track Speed Skating,3
,137698,6,Short Track Speed Skating,4
,109921,6,Short Track Speed Skating,5
,100218,5,Short Track Speed Skating,6
,83084,5,Short Track Speed Skating,7
,127580,5,Short Track Speed Skating,8
,109911,5,Short Track Speed Skating,9
,89605,5,Short Track Speed Skating,10
,144430,1,Skateboarding,1
,147458,1,Skateboarding,2
,147456,1,Skateboarding,3
,144433,1,Skateboarding,4
,144431,1,Skateboarding,5
,140825,1,Skateboarding,6
,141263,1,Skateboarding,7
,143068,1,Skateboarding,8
,141168,1,Skateboarding,9
,144702,1,Skateboarding,10
,127791,2,Skeleton,1
,110442,2,Skeleton,2
,101697,2,Skeleton,3
,111080,2,Skeleton,4
,86531,2,Skeleton,5
,101696,1,Skeleton,6
,101695,1,Skeleton,7
,86530,1,Skeleton,8
,101700,1,Skeleton,9
,84107,1,Skeleton,10
,95937,5,Ski Jumping,1
,109740,4,Ski Jumping,2
,99870,4,Ski Jumping,3
,119539,4,Ski Jumping,4
,101136,4,Ski Jumping,5
,99860,4,Ski Jumping,6
,127867,4,Ski Jumping,7
,98886,4,Ski Jumping,8
,119523,4,Ski Jumping,9
,109725,4,Ski Jumping,10
,128400,3,Snowboarding,1
,119642,3,Snowboarding,2
,109860,3,Snowboarding,3
,101100,3,Snowboarding,4
,137770,3,Snowboarding,5
,110950,3,Snowboarding,6
,119838,3,Snowboarding,7
,128021,3,Snowboarding,8
,128763,3,Snowboarding,9
,127529,3,Snowboarding,10
,1352,4,Softball,1
,1427,4,Softball,2
,1381,4,Softball,3
,1454,4,Softball,4
,93203,3,Softball,5
,93198,3,Softball,6
,109144,3,Softball,7
,1458,3,Softball,8
,109125,3,Softball,9
,93233,3,Softball,10
,109767,13,Speed Skating,1
,82053,9,Speed Skating,2
,109681,9,Speed Skating,3
,119701,8,Speed Skating,4
,109768,7,Speed Skating,5
,98260,7,Speed Skating,6
,83820,7,Speed Skating,7
,119690,6,Speed Skating,8
,80673,6,Speed Skating,9
,100967,6,Speed Skating,10
,140881,1,Sport Climbing,1
,144337,1,Sport Climbing,2
,142500,1,Sport Climbing,3
,146543,1,Sport Climbing,4
,144338,1,Sport Climbing,5
,147403,1,Sport Climbing,6
,146391,1,Surfing,1
,144450,1,Surfing,2
,144704,1,Surfing,3
